Individual	Number	PopName
Certhia_albescens_Chiricahua_KU128979	1	Chiricahua
Certhia_albescens_CMexico_UWBM106936	2	CMexico
Certhia_albescens_CMexico_UWBM107890	3	CMexico
Certhia_albescens_CMexico_UWBM107897	4	CMexico
Certhia_albescens_SRita_KU31300	5	SRita
Certhia_albescens_SRita_KU31301	6	SRita
Certhia_albescens_SRita_KU31309	7	SRita
Certhia_americana_Nevada_DHB2848	8	Nevada
Certhia_americana_Nevada_JK01-418	9	Nevada
Certhia_americana_Nevada_JK01-419	10	Nevada
Certhia_americana_Pinaleno_KU128765	11	Pinaleno
Certhia_americana_Pinaleno_KU128766	12	Pinaleno
Certhia_americana_Pinaleno_KU128768	13	Pinaleno
Certhia_americana_Pinal_KU29806	14	Pinal
Certhia_americana_Pinal_KU29909	15	Pinal
Certhia_americana_Pinal_KU31303	16	Pinal
Certhia_americana_SCatalina_KU128773	17	SCatalina
Certhia_americana_SCatalina_KU128774	18	SCatalina
Certhia_americana_SCatalina_KU128775	19	SCatalina
Certhia_americana_Utah_UWBM113162	20	Utah
Certhia_americana_Utah_UWBM113167	21	Utah
Certhia_americana_Utah_UWBM113168	22	Utah
